,text,classification
1983,"
 1. The year of the 75th anniversary of Star Trek, a science fiction franchise that has been popular since its premiere in 1966. In this year, several new episodes were released for various platforms such as Netflix and Hulu. Additionally, there was also an animated series called ""Star Trek: Discovery"" which premiered on CBS All Access network. 
2. The year of the release of Game of Thrones season 7 finale episode titled 'The Winds of Winter'. This is a popular fantasy television show that has gained immense popularity among viewers worldwide since its premiere in 2011. In this year, several new episodes were released for various platforms such as HBO and Netflix. Additionally, there was also an animated series called ""Game of Thrones: The Last Watch"" which premiered on Amazon Prime Video network. 
3. The year of the release of Avengers: Age of Ultron movie directed by Joss Whedon. This is a superhero film that has gained immense popularity among viewers worldwide since its premiere in 2015. In",1
1715," is an American former professional boxer who competed from 1963 to 1976. He was a light-heavyweight and middleweight contender during his career, known for his aggressive fighting style that earned him the nickname ""The Hammer."" In addition to boxing, he also served as a police officer in New York City before turning to full-time training at Gleason's Gymnasium in Brooklyn. D'Ammassa is considered one of the greatest boxers from Queens and was inducted into both the International Boxing Hall of Fame and the World Boxing Council Hall of Fame for his contributions to boxing.",1
1206," a former Australian rules football player and coach. He played for the Essendon Football Club in the 1960s, where he was known as one of their greatest players. After retiring from playing, Stevens went into coaching and became an assistant at Collingwood before taking over as head coach in 1981. During his time with Collingwood, Stevens led them to two premierships (1981–1982) and also coached the Australian national team during a successful period for Australia's footballers.
Stevens was known for his tactical acumen on field, particularly his ability to read opponents' movements and anticipate their actions. He is widely regarded as one of the greatest coaches in Collingwood history, having won more premierships than any other coach at that club. Stevens retired from coaching after a heart attack in 2002 but remains an influential figure within Australian football circles.",1
247,"Želivského  is a station on Line A of the Prague Metro. The station is located under Vinohradská street next to the Olšany Cemetery. It is named after the Jana Želivského street, which is itself named after Jan Želivský. The station was opened on 19 December 1980 as the eastern terminus of the extension of the line from Náměstí Míru. On 11 July 1987 the line was extended to Strašnická. Characteristics 
The station is a three-bore buttressed tunnel with ten pairs of boarding and deboarding accesses. It is 148 meters long in total, but the boarding platform spans only 100 meters. The walls of the station are covered with brown and gold, anodized, aluminum mouldings. The single lobby under Vinohradská Avenue is 5.6 meters underground. The lobby is connected to the street by three exits with escalators and to the platform by one long tunnel with escalators running in both directions. Behind the station are two hold yards and one reverse track capable of storing an entire train. Extension of the A-line to the Strašnická Station was achieved by boring tunnels from these auxiliary spaces. The reverse track is still used for reversing and storing trains even though the Želivského Station is no longer the terminus of the line. The construction of the station in 1980 cost approximately 301 million Czech crowns.",0
1710," New York City. She was born and raised in the Bronx, where she developed a love for art at a young age. After graduating from high school, she attended Pratt Institute of Art & Design to study graphic design. During her time there, she honed her skills as an illustrator by working on various projects such as posters, logos, and album covers.
    In the early 2000s, Bookchin began experimenting with digital art techniques using software like Photoshop and Illustrator. She became known for creating intricate designs that were both visually stunning and technically impressive. Her work often featured abstract patterns inspired by her upbringing in a working-class neighborhood of New York City.
    One of the most notable projects she worked on was ""The Bronx is Burning,"" an album cover commissioned by The Strokes' frontman, Julian Casablancas for his solo project. Bookchin's design incorporated elements from both art and music to create a visually striking image that captured the spirit",1
1056," that originated in the United Kingdom. It emerged as an offshoot from traditional blues and ragtime, blending elements of these styles with new rhythms and harmonies to create its own unique sound. The genre has been characterized by improvisation, syncopated beats, complex melodies, and intricate vocal arrangements. British jazz musicians have made significant contributions in the development of modern music genres such as fusion, avant-garde, and world music. Some notable figures include John Coltrane, Miles Davis, Ronnie Scott, and Django Reinhardt. The genre has also influenced other forms of music including rock, pop, hip hop, and electronic dance music (EDM). British jazz is a vibrant part of the cultural heritage in Britain that continues to evolve with new generations of musicians creating innovative sounds for audiences around the world.",1
13,"Jai Bhim  is a 2021 Indian Tamil-language legal drama film directed by T. J. Gnanavel and produced by Jyothika  and Suriya under 2D Entertainment. The film stars Suriya and Lijomol Jose with Manikandan, Rajisha Vijayan, Prakash Raj, Rao Ramesh and others in supporting roles. The film deals with the subject of police bias and state violence against a marginalised community. Based on a true incident in 1995, which involves a case fought by Justice K. Chandru, it revolves around the lives of Sengeni and Rajakannu, a couple from the Irular tribe. Rajakannu was arrested by the police, and was later missing from the police station. Sengeni seeks the help of an advocate Chandru to seek justice for her husband. Following an official announcement in April 2021, the film began principal photography that month, with many sequences being shot in Chennai and Kodaikanal. Production was halted due to the COVID-19 pandemic and filming resumed in July 2021. It was completed that September. The film's cinematography and editing were handled by S. R. Kathir and Philomin Raj respectively. The music and film score is composed by Sean Roldan. The film's title is a reference to the slogan used by followers of B. R. Ambedkar.",0
231,"Jean Suey Zee Lew (née Lee; July 26, 1924) is a Canadian veteran of World War II who was the only woman of Chinese-Canadian descent to serve in the Royal Canadian Air Force (RCAF). As a member of the RCAF Women's Division, Lee was stationed from 1942 to 1945 at the Royal Canadian Air Force Depot, Eastern Air Command, at Rockcliffe, Ontario. Lee was born on July 26, 1924, in Cranbrook, British Columbia to Lee Look (Chow Man) and Huey Shee Lee. She had two brothers who also served in the military – Wilson John Lee who served with training command at Fort Macleod, and William, who served in the Korean War. She was awarded her Canadian Citizenship Certificate in a ceremony in February 1947, along with 6 other veterans. She was one of the first women of Chinese descent to become a Canadian citizen. From 1874, Chinese Canadians had been restricted from Canadian citizenship.",0
60,"Edward Buck (October 6, 1814 – July 16, 1876) was an American lawyer and writer. Buck, the fifth son of Gurdon and Susannah (Manwaring) Buck, and a descendant of Gov. Gurdon Saltonstall, of Connecticut, was born in New York City, Oct. 6, 1814.  He graduated from Yale College in 1835.  He studied law in New York, and began practice in that city in 1838. In 1843 he removed to Boston, where he continued actively engaged in his profession until his death. From 1854 his residence was in Andover, Mass., where he died, July 16, 1876, in his 62nd year.  Buck was a frequent writer for the newspapers, and published in 1866 an important volume on Massachusetts Ecclesiastical Law (Boston, 8vo, 316 pp.). As a prominent Christian layman his interest in all educational and philanthropic matters was always intelligent and active.  He married, June 8, 1841, Elizabeth Greene, daughter of Hon. Samuel Hubbard, of Boston, a Justice of the Supreme Court of Massachusetts. She survived him with their two children, a son and a daughter. The son graduated Yale in 1870.",0
1614," located in the city of San Jose, California. It was founded by Father John Feio in 1851 and has since become an important landmark within the Catholic community. The current building dates back to 1906 when it replaced an earlier structure that had been built on the same site in 1850.
The original wooden structure burned down during a fire in 1900 but was rebuilt with brick, which is still visible today as well as other additions such as stained glass windows and new pews added over time. The church has undergone several renovations throughout its history to accommodate changes within society including adding more space for the growing Catholic community of San Jose.
The current building features a beautiful interior design that includes intricate details in the ceiling, walls, and flooring which are all made from natural materials such as wood, stone, and brick. The church also has an impressive collection of religious artifacts on display throughout its history including paintings by famous artists like Diego Velázquez and Francisco de Zurbarán.
",1
2,"In mathematics, specifically differential calculus, the inverse function theorem gives a sufficient condition for a function to be invertible in a neighborhood of a point in its domain: namely, that its derivative is continuous and non-zero at the point. The theorem also gives a formula for the derivative of the inverse function.
In multivariable calculus, this theorem can be generalized to any continuously differentiable, vector-valued function whose Jacobian determinant is nonzero at a point in its domain, giving a formula for the Jacobian matrix of the inverse. There are also versions of the inverse function theorem for complex holomorphic functions, for differentiable maps between manifolds, for differentiable functions between Banach spaces, and so forth. Statement
For functions of a single variable, the theorem states that if  is a continuously differentiable function with nonzero derivative at the point ; then  is invertible in a neighborhood of , the inverse is continuously differentiable, and the derivative of the inverse function at  is the reciprocal of the derivative of  at :",0
1372," a Dutch-American computer scientist and mathematician. He is best known for his work in the field of computational complexity theory, particularly as it relates to graph algorithms such as depth first search and breadth first search. Van Eegham has also made significant contributions to other areas of mathematics including number theory, combinatorics, and probability theory.
    In addition to his academic career, van Eegham is a prolific writer with over 100 publications in various fields ranging from computer science to philosophy. He was awarded the ACM SIGACT Award for Best Paper on Computational Complexity Theory in 1991 for his paper ""The Time-Space Tradeoff: A New Characterization of NP"".
    Van Eegham is also a Fellow of both the American Academy of Arts and Sciences (AAAS) and the Association for Computing Machinery (ACM). He has served on numerous editorial boards, including as an Associate Editor at ACM Transactions on Computational Complexity Theory",1
203,"Haugan is a Norwegian surname which originated as a farm name. The name Haugan  derives from the Old Norse word haugr which can be translated to mean hill, knoll, or mound. Other derivatives include Hauge, Haugen and Haugland, all common Norwegian surnames. Haugan may refer to: People
Anders Haugan, CEO / Managing Director at Nordea Investment Funds Norway
Bernt B. Haugan (1862–1931), American minister, politician, and temperance leader
Björn Haugan (1942–2009), Norwegian Opera singer
Dag-Are Haugan (b. 1970), Norwegian musician
Finn Haugan (b. 1953), Administrative director of Sparebank 1
Gregory T. Haugan (b. ? ), American author and expert in the field of Work Breakdown Structure
Grethemor Skagseth Haugan (b. 1954), Research leader at Norwegian University of Science and Technology
Gunnar Haugan (1925–2009), Norwegian character actor
H. G. Haugan (1840–1921),  American railroad and banking executive
Helge Alexander Haugan (1847–1909), American banker
Jørgen Haugan (b. 1941), Norwegian author and lecturer
Kjetil Haugan, Director of the Olympic Village during the 1994 Winter Olympics and 1996 Summer Olympics
Marit Haugan , Norwegian movie actress
Peter M. Haugan (b. 1958), Norwegian Scientist and Director of the Geophysical Institute, University of Bergen
Randolph Edgar Haugan (1902–1985), American author, editor and publisher
Reidar Rye Haugan (1893–1972),  American newspaper publisher
Solveig Haugan (1901–1953), Norwegian movie actress
Stein Vidar Hagfors Haugan,  Executive Director, Hinode Science Data Centre Europe at University of Oslo",0
928,"Borderland State Park is a history and nature preserve with public recreational features located in the towns of Easton and Sharon, Massachusetts. The state park encompasses  surrounding the Ames Mansion, which was built in 1910. The area was listed on the National Register of Historic Places as Borderland Historic District in 1997. It is operated by the Massachusetts Department of Conservation and Recreation, with an appointed advisory council that participates in policy decision-making. History
In 1906, Oakes Ames, a Harvard botanist (son of Massachusetts governor Oliver Ames and grandson of U.S. Representative Oakes Ames), and his wife Blanche Ames Ames (daughter of Mississippi governor Adelbert Ames, but not related to Oakes Ames), an artist and feminist, purchased land on the border of Sharon and Easton. There they built a mansion that includes Blanche Ames' studio, which still stands and created a nature preserve with woodland paths and roadways and man-made ponds. The family's home, a three-story, 20-room stone mansion constructed in 1910, was built largely at the direction of Blanche Ames. Her paintings still hang on the walls and much of the original furnishings are still intact. After it remained in the family for 65 years, the Commonwealth of Massachusetts acquired the Borderland estate in 1971, two years after the death of Blanche Ames, and opened it as a state park.",0
225,"Xu Jing (, 1927 – 15 October 2011) was a Chinese mountaineer and leader of the first team to reach the summit of Shishapangma, Tibet on 2 May 1964 and in 1965 this area would become the Tibet Autonomous Region.
 
Xu Jing was born in Fushun, Liaoning, China. He learned mountaineering in the Soviet Union in 1955. In 1956, Xu Jing took charge of China's first mountaineering training program organized by All-China Federation of Trade Unions. The same year, he climbed Muztagh Ata in a joint Sino-Soviet expedition. In 1960, he was the deputy leader of the Chinese Mount Everest expedition team, but had to retreat at 8500 m due to exhaustion. In 1964, Xu Jing led a team of members to reach the summit of Shishapangma, the last unclimbed eight-thousander. In 1975, he was the deputy leader of the Chinese expedition team that successfully climbed and surveyed Mount Everest. In 1988, he was the deputy leader of the China-Japan-Nepal joint Mount Everest ""crossover"" team. Xu Jing was vice-president of China Mountaineering Association. Xu died in 15 October 2011, aged 84. References",0
449,"The Steiner Academy Hereford is a Steiner-Waldorf Academy school in Much Dewchurch near Hereford, Herefordshire, UK. It opened in September 2008 based at the earlier Hereford Waldorf School and is the first publicly funded Steiner-Waldorf school in the UK. The school takes students from the Kindergarten age of 3 to 16. Natural Environment Academy
As a state funded Academy its specialism is the natural environment. The Academy is based on the earlier Hereford Waldorf School which existed for 25 years at the same site and comprised a Victorian school, medieval farmhouse and a more recent Kindergarten extension, and 18th century barns. Between 2008 and 2011 the school and site were redeveloped by John Renshaw Architects in a £6.5 million project that transformed the school using natural materials. This redevelopment provided a new hall, renewable energy, and buildings upgraded to reduce the environmental footprint, while organising the development of the site in sympathy with the natural environment. The school has outdoor classrooms and a significant area of productive gardens and other ecology areas dedicated to Landwork activities.",0
990,"Hans Hass (23 January 1919 – 16 June 2013) was an Austrian biologist and underwater diving pioneer. He was known mainly for being among the first scientists to popularise coral reefs, stingrays, octopuses and sharks. He pioneered the making of documentaries filmed underwater and led the development of a type of rebreather. He is also known for his energon theory and his commitment to protecting the environment. Early years
Hass was born in Vienna; his father was an attorney and Hass initially pursued law. However, Hass had a formative encounter with the American diver Guy Gilpatric while on a Riviera holiday in 1938 which included underwater hunting and photography. After making expeditions to the Caribbean Sea and writing his first professional articles in 1938-39, in 1940 Hass switched from reading law to studying zoology and graduated with a Ph.D. from the University of Berlin in 1943 at the Faculty of Biology. His thesis was the first scientific research project that used an autonomous rebreather diving equipment. In his early diving he used rebreathers, which he had made for him by the German diving gear makers Dräger: he had these sets made with the breathing bag on his back, as he did not like the bag-on-chest ""frogman look"". Hass and his team of researchers logged over 2000 dives utilising oxygen rebreathers from 1942 to 1953.",0
440,"The liberation of Paris  was a military battle that took place during World War II from 19 August 1944 until the German garrison surrendered the French capital on 25 August 1944. Paris had been occupied by Nazi Germany since the signing of the Second Compiègne Armistice on 22 June 1940, after which the Wehrmacht occupied northern and western France. The liberation began when the French Forces of the Interior—the military structure of the French Resistance—staged an uprising against the German garrison upon the approach of the US Third Army, led by General George Patton. On the night of 24 August, elements of General Philippe Leclerc's 2nd French Armored Division made their way into Paris and arrived at the Hôtel de Ville shortly before midnight. The next morning, 25 August, the bulk of the 2nd Armored Division and US 4th Infantry Division and other allied units entered the city. Dietrich von Choltitz, commander of the German garrison and the military governor of Paris, surrendered to the French at the Hôtel Le Meurice, the newly established French headquarters. General Charles de Gaulle of the French Army arrived to assume control of the city as head of the Provisional Government of the French Republic.",0
1084," an American former professional baseball player. He played as a catcher and outfielder for the Boston Red Sox from 1963 to 1971, winning two World Series championships with them in 1967 and 1968. After his playing career ended, he became a coach and manager of minor league teams until retiring again on December 31, 2018 at age 73.[1]
    Mathe r was born in New York City,[2][3] the son of an Italian immigrant father who worked as a tailor for $5 per week. He attended DeWitt Clinton High School where he played baseball and football. After graduating from high school, he signed with the Boston Red Sox on June 15, 1963.[4]
    Mathe r was known for his exceptional defensive skills behind home plate,[5][6] as well as his hitting ability in both left field[7] and right centerfield.[8] He had a career batting average of .264 (1,947-for-6,0",1
512,"Máscaras  is a Brazilian telenovela produced and broadcast by RecordTV. Created by Lauro César Muniz. It premiered on April 4, 2012 and ended on October 2, 2012. Plot 
Otávio is a thriving cattle breeder in Mato Grosso do Sul. And he falls in love with Maria, a young woman from the big city. The two marry, Maria will live on the farm next to her husband, have a baby and then suffer postpartum depression. To be treated, she embarks on a therapeutic ship, created by the alternative doctor Dr. Décio. Maria returns to her husband's farm, but is kidnapped along with her son, Tavinho. Otávio decides to start life with another identity, but he does not go to great lengths to find the family. He discovers that the kidnapping has to do with a criminal organization led by Big Blond, and goes on to investigate the crime. Only time passes and, without enduring the weight of the disappearance of his loved ones, the farmer goes into depression. Dr. Decio then receives an anonymous email saying that they will both find news of Maria inside a mysterious ship. His brother-in-law, Martim, connected to Big Blond, also embarks on the same cruise and insists on accusing Otavio of his sister's disappearance. The transatlantic berths in Búzios and Martim meets with members of the Organization. Suspicious, Otávio and Décio follow the trickster and end up kidnapped. At sea, Martim ends up dying and the farmer adopts his identity to restart his life. There begins a game of mirrors, in which the hero wears the mask of the villain and the villain pretends to be a hero.",0
592,"Ovando is a surname. Notable people with the surname include: Alfredo Ovando Candía (1918–1982), Bolivian general, president and dictator
Clementina Díaz y de Ovando (1916–2012), Mexican writer and researcher
Diego de Cáceres y Ovando, Spanish nobleman
Diego Fernández de Ovando, Spanish military and nobleman
Diego Fernández de Cáceres y Ovando (died after 1487), Spanish military and nobleman
Eduardo Ovando Martínez (born 1955), Mexican politician
Fernando Alfón de Ovando, Spanish military and nobleman
Fernando Fernández de Ovando, Spanish diplomat and nobleman
Francisco José de Ovando, 1st Marquis of Brindisi (c. 1693–1755), Spanish soldier and governor of Chile
Hernán Pérez de Ovando, Spanish military man and nobleman
Janette Ovando (born 1977), Mexican politician 
Javier Ovando (born c. 1977), Honduran immigrant framed by the LAPD
José Luis Ovando Patrón (born 1970), Mexican politician
Marcos Ramírez de Prado y Ovando (1592–1667), Spanish Roman Catholic prelate
Neriman Ovando (born 1991), Dominican footballer 
Nicolás de Ovando (1460–1511), Spanish soldier and governor of the Indies
Sancho Fernández de Ovando, Spanish nobleman",0
542,"Haroun Tazieff (Warsaw, 11 May 1914 – Paris, 2 February 1998) was a Tatar, Belgian and French volcanologist and geologist. He was a famous cinematographer of volcanic eruptions and lava flows, and the author of several books on volcanoes. He was also a government adviser and French cabinet minister. Early life
His parents met and married in 1906 while they were both students in Brussels. They later returned to Warsaw, Russian Partition, where their first son, Salvator, died at two months and where Haroun was born. His father, Sabir, was a Muslim medical doctor, of Tatar descent and his mother, Zenita Iliyasovna Klupta, was a Tatar chemist and doctor of natural science and holder of a bachelor's degree in political science. His father was conscripted into the Russian Army and died during the First world war, a fact that did not reach the family until 1919. In 1917 Haroun emigrated to Brussels with his widowed mother.",0
671,"Sir Bertram Sydney Barnsdale Stevens  (2 January 1889 – 24 March 1973), also referred to as B. S. B. Stevens, was an Australian politician who served as the 25th Premier of New South Wales, in office from 1932 to 1939 as leader of the United Australia Party (UAP). Stevens grew up in Sydney and was an accountant and public servant before entering politics. He was elected to the New South Wales Legislative Assembly at the 1927 state election, as a member of the Nationalist Party. In 1929, he was appointed state treasurer under Thomas Bavin, serving until his party lost the 1930 election. In 1932, Stevens was elected as the inaugural leader of the state branch of the UAP. He became premier later that year, following the dismissal of Labor's Jack Lang, and subsequently led his party to victory at the 1932, 1935, and 1938 elections. Stevens was ousted in 1939 and replaced by Alexander Mair. He made an abortive attempt to enter federal politics at the 1940 election, and thereafter played little part in public life.",0
766,"Highness (abbreviation HH, oral address Your Highness) is a formal style used to address (in second person) or refer to (in third person) certain members of a reigning or formerly reigning dynasty. It is typically used with a possessive adjective: ""His Highness"", ""Her Highness"" (HH), ""Their Highnesses"", etc. Although often combined with other adjectives of honour indicating rank, such as ""Imperial"", ""Royal"" or ""Serene"", it may be used alone.
 
Highness is, both literally and figuratively, the quality of being lofty or above. It is used as a term to evoke dignity or honour, and to acknowledge the exalted rank of the person so described. History in Europe
Abstract styles arose in profusion in the Roman Empire, especially in the Byzantine. Styles were attached to various offices at court or in the state. In the early Middle Ages such styles, couched in the second or third person, were uncertain and much more arbitrary, and were more subject to the fancies of secretaries than in later times.",0
1800," commercial building located in the city of San Diego, California. Built by real estate developer Harry Weinberg and his family in 1925, it was one of the first buildings to be constructed with reinforced concrete construction techniques that were then new technology at the time. Today, the Wein's Commercial Building has been restored into an office space for commercial use while preserving its historic architecture. The building is a prime example of early 20th century modernist design and features unique architectural elements such as curved walls and large windows to maximize natural light in interior spaces.",1
1972," producer, AKA DiscoGraf",1
1933," first operational jet fighter aircraft in service with any military. It entered service in 1954 and served as a primary reconnaissance, ground attack, and escort fighter for France's air forces until it retired from active duty in 1991. During its long career, the Le Dragon saw action during several conflicts including the Algerian War, the Indo-Pakistani War of 1965, and the First Gulf War. It was also used by other countries such as Egypt, Israel, Greece, Spain, Portugal, Italy, Belgium, West Germany, Australia, New Zealand, Canada, Japan, South Korea, Thailand, Singapore, Malaysia, Indonesia, Philippines, Vietnam, Cambodia, Laos, Myanmar (Burma), and the United States for various purposes. The Le Dragon was also used as a target tug by some countries during testing of their own aircrafts.",1
1406," plant in the family Apocynaceae. It belongs to the genus Hibbertia and was first described by botanist Robert Browning in 1810, based on specimens collected from New South Wales (Australia). The plant has small leaves that are arranged alternately along its stem, with flowers borne at intervals between them.
Hibberti",1
1995," the ""Operation Blue Star,"" was a military operation conducted by General Zia ul-Haq's government in response to widespread political unrest and violence that had plagued the country since 1976. In an effort to restore order and stability to the nation, President Zulfikar Ali Bhutto declared martial law on July 5th of 1977, suspending civil liberties such as free speech and assembly, and imposing a state of emergency throughout Pakistan's provinces.
    The operation was carried out by military forces under General Zia ul-Haq's command, with the aim of quelling political unrest in the country through force if necessary. In response to widespread protests against Bhutto's government, which had been accused of corruption and authoritarianism, thousands of people were arrested or detained without trial during Operation Blue Star.
    The operation was met by a wave of opposition from civil society groups who saw it as an attempt at dictatorship and violation of human rights. In response to the widespread",1
1739," an American politician and former member of the United States House of Representatives. He served as a representative for Ohio's 2nd congressional district from 2007 to 2019. Prior to his election in 2006, he was a state senator representing the same area. In addition to serving on several committees during his time in Congress, Yarbrough also chaired the Subcommittee on National Security and Foreign Affairs.
    He is known as an advocate for national security issues such as counterterrorism efforts, cybersecurity policy, and military spending. During his tenure in office, he was a strong supporter of Israel's right to exist and worked closely with Israeli officials to strengthen bilateral ties between their countries. Yarbrough also supported the construction of a new U.S.-Mexico border wall along the United States-Mexico border as part of President Donald Trump's administration's efforts to secure America against illegal immigration from Mexico.
    He is married to his wife, Jennifer and they have two children together named Jack and Emily Yarbrough",1
