,text,classification
1971," television series created by The Fred Rogers Company and produced by Sesame Workshop. It premiered on PBS Kids in the United States on September 6, 2014. The show follows the adventures of a group of animated animals who live in the fictional land of Wubbville. The show is designed to be educational and entertaining for children aged four to six years old. The main characters are Wubbzy, his best friend Tutter, and their friends Gurn, Zuppy, and Pup-Up. Each episode focuses on a different lesson or skill that children can learn, such as problem solving, friendship, and perseverance. The show is known for its bright colors, catchy songs, and positive message about the importance of friendship and teamwork.",1
811,"Bert's Family Feud was an Australian game show remake based on the American show of the same name. The series was produced by Grundy Television in conjunction with FremantleMedia. It was broadcast on the Nine Network and hosted by Bert Newton. The title refers to host Bert Newton as the show intended to feature celebrities and their families as contestants. A principal motivation for establishing the show was that the Nine Network had the highest-rating Australian television news service for many years, but has seen its viewing audience abandon the network in favour of the Seven Network's Seven News and Today Tonight.  This is not only due to Seven's increasing ratings for its news programming, but also due to their highly successful game show Deal or No Deal which airs in the 5:30pm timeslot, leading into the news.  Leading up to the program's February 2006 launch there was speculation that the network may delay the program until mid-year and instead show reruns of Friends in the 5:30pm timeslot.  Network executives are hoping that Friends reruns will reignite the timeslot and allow Bert's Family Feud to premiere.",0
689,"The Macbeth Gallery was an art gallery in New York City that was the first to specialize in American art. Founded by William Macbeth in 1892, the gallery gained notoriety in 1908 when it put on an exhibition protesting the restrictive policies and conservative tastes of the existing art establishment in New York, exemplified by the National Academy of Design. The exhibition showcased the work of eight artists who were known for portraying gritty scenes of daily life, especially of poorer communities in New York: Robert Henri, William Glackens, George Luks, Everett Shinn, John Sloan, Arthur Bowen Davies, Ernest Lawson, and Maurice Prendergast. Though they had varying styles, the artists were later known collectively as ""The Eight"". Henri, Glackens, Luks, Shinn, and Sloan were associated with the Ashcan School, and the 1908 exhibition brought increased national attention to that movement and founded their reputations. In 1948, Andrew Wyeth's painting Christina's World was first exhibited at the Macbeth Gallery before it was purchased by the Museum of Modern Art.",0
528,"is a Japanese professional drifting driver, currently competing in the D1 Grand Prix series for ATR Radial / Monster Energy / Sunoco and RDS GP for AIMOL Racing / Sailun Tires. Formerly competing in Formula DRIFT USA and World Championship series for Achilles Radial. He was the first driver to win the two drifting majors, D1GP in 2008 and Formula D in 2012. Biography
From an early age he was into motorbikes as his father was, and got his motorcycle license at 16. One night when he was out riding with his friends they stumbled upon a drift meeting in the hills of Karuizawa, there he saw a white Mercedes-Benz saloon drifting. From then on he wanted to drift himself and he wanted to drift a saloon. As soon as he was 18 he got his drivers license, his father did not want him to drift so bought him a Mini Cooper as his first car. At this time he did not know that it would not be a good car to drift so he tried, and ended up writing it off. He then bought a Nissan Silvia S13 without asking his parents and set about practicing, his first practice session lasted 36 hours only stopping for food and fuel. He learned a lot from this first practice session though he totalled the Nissan Silvia S13 a couple of weeks later.",0
691,"The Brush Ground was a cricket ground in Loughborough, Leicestershire. Owned by the Brush Electrical Machines Company and used by the company cricket team, it was used as an outground by Leicestershire. They first played there in a first-class match against Hampshire in the 1953 County Championship. Leicestershire played there at least once a year (with the exception of 1964) until 1965, playing sixteen first-class matches. The ground was later purchased by Leicestershire County Council in 2017, with the ground redeveloped for residential purposes. The sports club moved to new premises three–times the size Nanpantan Road in Loughborough. First-class records
 Highest team total: 426 all out by Surrey v Leicestershire, 1953
 Lowest team total: 36 all out by Leicestershire v Derbyshire, 1965
 Highest individual innings: 135 by Eric Bedser for Surrey v Leicestershire, 1953
 Best bowling in an innings: 10–78 by Tony Pearson for Cambridge University v Leicestershire, 1961
 Best bowling in a match: 14–119 by Butch White, for Hampshire v Leicestershire, 1963",0
1651," health condition characterized by the occurrence of frequent, intense episodes of depression that are typically milder than major depressive disorder. These episodes may last for weeks or months and can be triggered by various factors such as stress, sleep disturbances, physical health problems, or life events. RBD is often associated with other mood disorders such as bipolar disorder and personality disorders. The diagnosis of RBD requires at least four distinct depression episodes in the past year, each lasting at least two weeks, with a clear onset and resolution. The condition can be treated with medication, therapy, and lifestyle changes to manage symptoms and prevent further episodes.",1
1732," District of Zambia. It is located approximately 50 kilometers south-west of the capital city Lusaka. The town was founded in the early 1960s and has grown to become an important commercial center in the region, with a population of over 20,000 people. Nyacheki is known for its vibrant market place, which attracts traders from all over Zambia and neighboring countries such as Malawi and Mozambique. The town is also home to several schools, hospitals, and other essential services that cater to the needs of its residents.",1
1530," January 31, 1879) was an American inventor and businessman who developed the first successful cotton gin in the United States. The cotton gin was a machine that greatly increased the efficiency of separating cotton fibers from their seeds, making cotton production much more profitable for planters. Slingerland's invention revolutionized the textile industry and played a significant role in the development of modern agriculture in the United States.",1
397,"Venous cutdown is an emergency procedure in which the vein is exposed surgically and then a cannula is inserted into the vein under direct vision. It is used to get vascular access in trauma and hypovolemic shock patients when peripheral cannulation is difficult or impossible. The saphenous vein is most commonly used. This procedure has fallen out of favor with the development of safer techniques for central venous catheterization such as the Seldinger technique, the modified Seldinger technique, intraosseous infusion, as well as the use of ultrasound guidance for placement of central venous catheters without using the cutdown technique. Procedure
The skin is cleaned, draped, and anesthetized if time allows. The greater saphenous vein is identified on the surface above the medial malleolus, a full-thickness transverse skin incision is made, and 2 cm of the vein is freed from the surrounding structures. The vessel is tied closed distally, the proximal portion is transected (venotomy) and gently dilated, and a cannula is introduced through the venotomy and secured in place with a more proximal ligature around the vein and cannula. An intravenous line is connected to the cannula to complete the procedure.",0
1832," regime was the government that ruled Spain from 1936 to 1975, during the Franco dictatorship. It was a period of extreme conservatism and authoritarianism in Spanish history, marked by a strong centralization of power and a rejection of modernity. The regime was led by General Francisco Franco, who came to power after leading a military coup d'état against the democratically elected government of Miguel de la Madrid. During its rule, the Francoist regime implemented policies that were intended to promote traditional Spanish culture and values, such as the suppression of Catalan language and culture, the closure of universities, and the censorship of literature and art. The regime also engaged in human rights abuses, including the repression of political dissidents and opponents, and the forced labor of Republican prisoners during the Spanish Civil War. Despite its authoritarianism, the Francoist regime was able to maintain control over Spain for four decades, until Franco's death in 1975.",1
472,", also known as Zeke Asakura in the English version of the 2001 anime, is a fictional character and the main antagonist in the manga and anime series Shaman King, created by Hiroyuki Takei. He is voiced by Minami Takayama in the Japanese version, Sebastian Arcelus in the English version of the 2001 anime and Erica Mendez in the English dub of the 2021 anime. Hao is the ancestor of Yoh Asakura, the protagonist of the series, as well as his twin brother in his third life. Overview
In Shaman King, Hao initially appears as one of many unnamed observers to Yoh Asakura and Tao Ren's match for the final qualifying spot for the Shaman Fight and resides by the Matagawa River in Tokyo with the Spirit of Fire. In his first formal appearance in Reincarnation 78, he is introduced as , a powerful shaman who Yoh notes has an uncanny resemblance to both himself and the Patch Officiant Silva. Accompanied by a number of followers, Hao declares his intention to create a shaman-only world and expresses an immediate interest in Yoh as someone who Hao will need in the future. Hao continues to observe Yoh and his development throughout the series for the intention of eventually claiming Yoh's soul as part of his own. Hao also develops an interest in Anna Kyoyama after realizing she had the power to defeat the shikigami he created and because of her strong resemblance to Asanoha Douji, his mother in his original incarnation.",0
392,"Luis Carlos Montalvan (April 13, 1973 – December 2, 2016) was an American soldier and author. He was born in Washington, DC and grew up in Potomac, MD, received a BA from the University of Maryland and a Master’s in Journalism from Columbia University. He served two tours of duty in Iraq and was an advocate for the use of service dogs. He also raised awareness about PTSD and its impact on veterans. He was also known for his New York Times Bestselling memoir, Until Tuesday: A Wounded Warrior and the Golden Retriever Who Saved Him, co-written with author, Bret Witter, in 2011. Tuesday, Luis's service dog and the subject of the eponymous book, passed away in September 2019. Montalvan was born in Washington D.C., and grew up in Potomac, Maryland. He was Cuban-American. When he was 17, he joined the United States Army, though he was discharged. He was later in the Reserve Officers' Training Corps while he attended the University of Maryland. In 2003, he was deployed to Iraq. On December 21, 2003, Montalvan describes how he was stabbed by a knife at a checkpoint in Al-Waleed. However, other members of the military have disputed the exact details of how Montalvan was injured and exactly what happened that night. An Associated Press report also disputed Montalvan’s description of the event and other descriptions written in his memoir, Until Tuesday. Montalvan addresses these differences in his book.",0
159,"Steven Donato Cangialosi (born October 28, 1963) is the primary television play-by-play announcer for the New Jersey Devils and the New York Red Bulls on the MSG Network, and also works on MLS, Serie A, and international soccer matches for ESPN.
Cangialosi replaced Mike ""Doc"" Emrick after he stepped down from the play-by-play role after 21 seasons in 2011. He currently serves with color analyst and former NHL defenseman Ken Daneyko after working for three seasons with former NHL goaltender Chico Resch. Prior to this, Cangialosi served as the backup play-by-play announcer to Emrick and the primary studio host for pre/post and intermission studio shows. He has also had other various jobs in television and radio including a three-year run as a sports talk-show host on ESPN radio in New York City. Steve Cangialosi worked on his first Olympic Games at the London 2012 event, broadcasting several soccer matches. Cangialosi works on Red Bulls games with color analyst and former New York Cosmos goalkeeper Shep Messing and also occasionally works on international soccer matches for BeIn Sport, Fox Sports and NBC Sports, where he has broadcast several Olympic, Gold Cup, and Europa League soccer matches.",0
271,"Ultratumbita (real name unrevealed) is a Mexican luchador enmascarado, or masked professional wrestler, best known for his work in Consejo Mundial de Lucha Libre's (CMLL), Minis division; working in the Mini division does not necessarily mean that Serrano is a dwarf as several short wrestlers work in the ""Mini"" division. Professional wrestling career
In 1992 then-CMLL booker Antonio Peña left CMLL to form his own promotion, Asistencia Asesoría y Administración (AAA); Peña had been the mastermind behind the CMLL Minis division and most of the Minis in CMLL decided to leave with Peña. Ultratumbita and a number of other wrestlers were brought in to replenish the division. Ultratumbita is a miniature version of regular sized wrestler Ultratumba. On September 11, 1993, Ultratumbita defeated Orito to win the CMLL World Mini-Estrella Championship, becoming the third champion. Ultratumbita held the Minis title for 520 days before losing it to Máscarita Mágica on February 13, 1995. In April 1995, Ultratumbita won a Lucha de Apuesta, or ""bet match"" over Máscarita Mágica as part of their storyline and forced Mágica to unmask. Ultratumbita has not wrestled since late 1995 / early 1996, the most likely reason is that the man behind the Ultratumbita mask was ""repackaged"" and given a new ring name and mask, but it has never been documented if this truly the case or not.",0
46,"Alonso de Ojeda  (; c. 1466 – c. 1515) was a Spanish explorer, governor and conquistador. He travelled through modern-day Guyana, Venezuela, Trinidad, Tobago, Curaçao, Aruba and Colombia. He navigated with Amerigo Vespucci who is famous for having named Venezuela, which he explored during his first two expeditions, for having been the first European to visit Guyana, Curaçao, Colombia, and  Lake Maracaibo, and later for founding Santa Cruz (La Guairita). Early life 
Alonso de Ojeda was born in Torrejoncillo del Rey, New Castile around 1466. His father, Rodrigo de Huete, was a minor noble who fought for Isabel in 1474 during the War of the Castilian Succession. Isabel was grateful for his support and put his son, Alonso, under her protection. In his youth, Alonso served the Duke of Medinaceli, Luis de la Cerda. In service to the duke, he distinguished himself in the conquest of Granada with his military abilities, his skill as a swordsman and his bravery.",0
1587," 28 February 2017) was a German politician who served as the leader of the Social Democratic Party of Germany from 1969 to 1974. He was born in Berlin and studied law at the University of Leipzig, where he also worked as a teacher. Albrecht became involved in politics during his student days, joining the SDP youth organization. After completing his studies, he worked for several years as an assistant to the party leader Willy Brandt. In 1964, he was elected to the Berlin Senate and served as its chairman from 1970 until his retirement in 1985. During his time at the helm of the Senate, Albrecht played a key role in the city's reconstruction after World War II, particularly in the area of urban planning and architecture. He was also an advocate for social welfare policies and fought against discrimination and inequality. In addition to his political career,",1
999,"Operation Yakhin was an operation to secretly emigrate Moroccan Jews to Israel, conducted by Israel's Mossad between November 1961 and spring 1964. About 97,000 left for Israel by plane and ship from Casablanca and Tangier via France and Italy. The accession of Hassan II on 26 February 1961 enabled negotiations to begin on a secret agreement between Mossad's ""Misgeret"" division and the Moroccan authorities (principally Prince Moulay Ali and labour minister Abdelkader Benjelloun), together with the American organisation HIAS. An economic arrangement was agreed between Israel and Morocco, with the agreement of Israeli Prime Minister David Ben-Gurion and King Hassan II of Morocco, whereby $500,000 would be paid as a downpayment, plus $100 per emigrant for the first 50,000 Moroccan Jews, and then, $250 per emigrant thereafter. The operation also received important help from Francoist Spain. However, some Jews settled in France, Canada and the United States instead of in Israel. Morocco received ""indemnities"" for the loss of the Jews.",0
1976," Interface, which refers to the interface between a material and living organisms. The NBI is an important area of study in nanotechnology as it involves understanding how materials interact with biological systems at the molecular level. This knowledge can be used to develop new technologies that have potential applications in fields such as medicine, drug delivery, and environmental monitoring.
 2. Nanoengineering is a field of engineering that focuses on designing and building small-scale devices and systems using nanotechnology principles. It involves manipulating matter at the atomic or molecular level to create structures and functionalities that are not possible with traditional materials.
 3. Nanosensors are tiny sensors that can detect chemical or physical signals at the nano scale. They are used in a variety of applications, such as environmental monitoring, drug delivery, and medical diagnostics.
 4. Nanoarchitectures are complex structures formed by assembling nanoscale building blocks. They have potential applications in fields such as energy storage",1
1129," neighborhood located in the city of Jacksonville, Florida. It was named after the sugar industry in Cuba and Puerto Rico, which was prevalent during the early 19th century. The area was primarily developed as a residential community for African Americans in the early 20th century, with many of its residents working at the nearby Camp Blanding military base. Sugar Hill is known for its historic architecture, including several well-preserved homes from the early 20th century. Today, it remains an important neighborhood for the city's African American community and is home to a variety of businesses and cultural institutions.",1
1744," Indian subcontinent, which has been passed down orally from generation to generation for centuries. It is a part of the larger Hindu mythology and tells the story of various gods and goddesses in India. The Halumatha Kuruba Purana is a part of this mythology and is considered one of the most important texts of the oral tradition.
 3. The story of the Halumatha Kuruba Purana is a complex and fascinating tale that has been passed down orally for generations. It tells the story of various gods and goddesses in India, including Brahma, Vishnu, Shiva, and Devi. The epic begins with the creation of the world and ends with the final battle between good and evil.
 4. The Halumatha Kuruba Purana is a rich source of information about Indian mythology and culture. It contains many important themes such as the origin of the universe, the role of different deities in Hinduism, and the importance of dh",1
1790," title that has been awarded to several people in the past. The first Count of Longueville was Guillaume de la Marck, who held the office from 1578 until his death in 1620. He was a French nobleman and politician who served as a member of the Parlement of Paris. His son, also named Guillaume de La Marck, succeeded him as Count of Longueville in 1620 and held the office until his death in 1659. The title has been passed down through the male line ever since then, with the current holder being the current Count of Longueville, who is also a member of the French National Assembly.",1
854,"The Poison Girls were an English anarcho-punk band from Brighton. The singer/guitarist, Vi Subversa, was a middle-aged mother of two at the band's inception, and wrote songs that explored sexuality and gender roles, often from an anarchist perspective. The original Poison Girls line-up also included: Lance D'Boyle (drums); Richard Famous (guitar/vocals); Nil (tapes/bass/electric violin); and Bernhardt Rebours (bass/synthesiser/piano). History
Poison Girls formed in Brighton in 1976, before moving to Burleigh House in Essex, near to Dial House, the home of fellow anarchist band Crass, with whom they worked closely for a number of years, playing over 100 gigs with the band. In 1979 they contributed to the revival of the peace movement by playing a number of benefit gigs with Crass and paying for the production of the first CND badges since CND's heyday. Again in 1979, and again with Crass, they proved influential to the establishment of the short lived Wapping Autonomy Centre by contributing the track ""Persons Unknown"" to a split single with Crass (who contributed ""Bloody Revolutions"") and raising over £10,000. Their song ""Bully Boys"", an attack on violent machismo led to the band being attacked by members of the National Front. The band also set up the label X-N-Trix alongside a publishing arm for the Impossible Dream magazine and recording studios for other artists.",0
1512," 28, 2015) was an American businessman and philanthropist. He was the founder of Arrillagas Companies, a private investment firm that specialized in real estate development, construction, and finance. He was also known for his philanthropic work, particularly with the Arrell Family Foundation, which he founded with his wife, Jane Arrellaga. 
 200 word wikipedia introduction on 'John Arrillaga'",1
91,"Space Engine Systems Inc. (SES) is a Canadian aerospace company and is located in Edmonton, Alberta, Canada. The main focus of the company is the development of a light multi-fuel propulsion system (DASS Engine) to power a reusable single-stage-to-orbit (SSTO) and hypersonic cruise vehicle. Pumps, compressors, gear boxes, and other related technologies being developed are integrated into SES's major R&D projects. SES is collaborating with the University of Calgary to study and develop technologies in key technical areas of nanotechnology and high-speed aerodynamics. Company history 
Space Engines Systems Inc. was established in 2012 to develop the DASS engine and related technologies in the aerospace sector. Space Engine Systems's promoters have been involved in the development of the engine for over 20 years. SES and CAN-K></ref> work together to bring novel pumps, compressors, and gearbox systems to the aerospace industry as spin off applications. On May 10, 2012, SES publicly announced the launch of their company at the Farnborough Air Show (July 9–15, 2012).  On August 6, they announced their participation in the AUVSI's Unmanned Systems North America. SES frequently attends major international trade shows in the aerospace sector including the Paris Air Show in 2013, 2015, and 2017 and the Farnborough Air Show in 2014 and 2016.",0
541,"The BOTA Tarot (also spelled BOTA, B.o.t.A., or BotA) was created by Paul Foster Case, founder of Builders of the Adytum (BOTA), and artist Jessie Burns Parke. Although it is based upon, and for the most part closely resembles, Arthur Edward Waite's 1909 Rider-Waite deck, Case changed what he said were mistakes or ""blinds"" on the part of Waite. The BOTA Tarot is available as standard-sized full deck and a larger version containing only the Major Arcana (trump cards; often called ""tarot keys"" by Case) are black and white, since Case believed that every student needed to color their own deck. After his death, the Major Arcana became also available in color. Each of these cards has a border of a particular color, which is the color that is associated with the card in the writings of Case. Every trump card has a Hebrew letter written on it in the lower right corner, which is the letter that is associated with the card in the writings of Case. In contrast to some earlier occult tarot decks, which place the Fool card last in order, and associate it with the second-to-last Hebrew letter,  (such decks order the last Hebrew letter, , before ), the BOTA deck places the Fool card first in order, and therefore associates it with the first Hebrew letter, aleph. It also orders  before , in the correct order of Hebrew letters.",0
1424," band formed in Vancouver, British Columbia, Canada in 1987. The band consisted of members Mark Lanegan, Greg Dulli, and Kiri Kitch. They released one album, ""The Graveyard,"" before splitting up in 1990.
 2. In the late 1980s and early 1990s, a number of Canadian independent rock bands emerged, including Nine Mile, which was formed in Vancouver in 1987 by Mark Lanegan (vocals), Greg Dulli (guitar), and Kiri Kitch (drums). The band's sound was characterized by its blend of bluesy guitar riffs, soulful vocals, and atmospheric production. Their only album, ""The Graveyard,"" was released in 1989 and received critical acclaim. Despite their success, the band split up in 1990 due to internal differences.",1
1205," a British singer-songwriter and record producer. He was born in London, England, and began his career as the lead vocalist of the band The Shadows from 1962 to 1967. After leaving The Shadows, he went on to have several successful solo careers, including a period as a pop artist in the late 1960s and early 1970s. He is known for his distinctive vocal style and his ability to write catchy melodies and lyrics that were popular with both audiences and critics. Stevens has sold over 25 million records worldwide and has had several chart hits throughout his career, including ""Wild Thing"" (which he co-wrote), ""Can't Get Used to Losing"", and ""Walking on Sunshine"". He is also known for his work as a record producer, having produced albums for artists such as Alvin Stardust, The Bay City Rollers, and Dana. In 20",1
1726," 3 September 1987) was a New Zealand-born Australian rules footballer who played for the Essendon Football Club in the Victorian Football League (VFL). He was a key member of the club's premiership teams in 1940 and 1941, as well as being named in the VFL team of the year on both occasions. In addition to his success at Essendon, Pearse also played for the North Melbourne Football Club in the Australian Football League (AFL) during the mid-1930s. He was known for his strong marking and accurate kicking ability, which made him a valuable player for both Essendon and North Melbourne.",1
1816," January 7, 2015) was an American football coach and athletic director. He served as the head football coach at the University of North Carolina at Charlotte from 1968 to 1972, leading the team to a record of 26-4-1 in three seasons. He also served as the athletic director at the university from 1973 until his retirement in 1990. Schmerer was inducted into the College Football Hall of Fame in 1985 for his contributions to college football.",1
1905," British socialite and fashion model who became known as ""The First Lady of Fashion"" in the 1920s. She was born in London, England, to an aristocratic family and grew up in Paris, France. As a child, she was discovered by French photographer Man Ray, who took several portraits of her. She later worked as a model for Coco Chanel and became known for her distinctive style and personality. In the 1920s, Grant was one of the most sought-after models in fashion, appearing on the covers of magazines such as Vogue and Harper's Bazaar. She also launched her own fashion line and opened a successful boutique in London. Her influence on fashion during this time is still felt today.",1
